TransName,Dx,Dy,Dz,Rx,Ry,Rz,Scale,Xm,Ym,Zm
Bogota To WGS 1984 2,304.5,306.5,-318.1,0,0,0,0,0,0,0
POSGAR To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
Belge 1972 To WGS 1984 1,-99.059,53.322,-112.486,0.419,-0.83,1.885,-0.000001,0,0,0
Belge 1972 To WGS 1984 2,-125.8,79.9,-100.5,0,0,0,0,0,0,0
ED 1950 To WGS 1984 23,-116.641,-56.931,-110.559,0.893,0.921,-0.917,-0.00000352,0,0,0
ED 1950 To WGS 1984 24,-90.365,-101.13,-123.384,0.333,0.077,0.894,0.000001994,0,0,0
Sierra Leone 1968 To WGS 1984,-88,4,101,0,0,0,0,0,0,0
Timbalai 1948 To WGS 1984 3,-726.282,703.611,-48.999,0,0,0,0,0,0,0
PDO 1993 To WGS 1984 3,-191.808,-250.512,167.861,-0.792,-1.653,8.558,0.000020703,0,0,0
MGI To WGS 1984 3,577.326,90.129,463.919,5.137,1.474,5.297,2.4232E-06,0,0,0
MGI To WGS 1984 4,551.7,162.9,467.9,6.04,1.96,-11.38,-0.00000482,0,0,0
S JTSK To WGS 1984 1,570.8,85.7,462.8,4.998,1.587,5.261,0.00000356,0,0,0
S JTSK To WGS 1984 2,559,68.7,451.5,7.92,4.073,4.251,0.00000571,0,0,0
ED 1950 To WGS 1984 25,-81.1,-89.4,-115.8,0.485,0.024,0.413,-0.00000054,0,0,0
ED 1950 To WGS 1984 26,-116.8,-106.4,-154.4,0,0,0,0,0,0,0
ED 1950 To WGS 1984 27,-181.5,-90.3,-187.2,0.144,0.492,-0.394,0.00001757,0,0,0
ED 1950 To WGS 1984 28,-131,-100.3,-163.4,-1.244,-0.02,-1.144,0.00000939,0,0,0
ED 1950 To WGS 1984 29,-178.4,-83.2,-221.3,0.54,-0.532,-0.126,0.0000212,0,0,0
KKJ To WGS 1984 1,-90.7,-106.1,-119.2,4.09,0.218,-1.05,0.00000137,0,0,0
TM65 To WGS 1984 2,482.5,-130.6,564.6,-1.042,-0.214,-0.631,0.00000815,0,0,0
Luxembourg 1930 To WGS 1984 1,-192.986,13.673,-39.309,-0.4099,-2.9332,2.6881,0.00000043,0,0,0
Pulkovo 1942 Adj 1958 To WGS 1984 1,33.4,-146.6,-76.3,-0.359,-0.053,0.844,-0.00000084,0,0,0
Estonia 1997 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
NGO 1948 To WGS 1984,319.08,37.81,463.57,6.2970588,-1.2903926,-5.712916338,0.000010819,0,0,0
Monte Mario To WGS 1984 4,-104.1,-49.1,-9.9,0.971,-2.917,0.714,-0.00001168,0,0,0
Monte Mario To WGS 1984 2,-168.6,-34,38.6,-0.374,-0.679,-1.379,-0.00000948,0,0,0
Monte Mario To WGS 1984 3,-50.2,-50.4,84.8,-0.69,-2.012,0.459,-0.00002808,0,0,0
AGD 1966 To WGS 1984 12,-129.193,-41.212,130.73,0.246,0.374,0.329,-0.000002955,0,0,0
AGD 1966 To WGS 1984 13,-119.353,-48.301,139.484,0.415,0.26,0.437,-0.000000613,0,0,0
AGD 1966 To WGS 1984 14,-120.271,-64.543,161.632,0.217,-0.067,-0.129,0.000002499,0,0,0
AGD 1966 To WGS 1984 15,-124.133,-42.003,137.4,-0.008,0.557,0.178,-0.000001854,0,0,0
AGD 1984 To WGS 1984 7,-117.763,-51.51,139.061,0.292,0.443,0.277,-0.000000191,0,0,0
NZGD 1949 To WGS 1984 3 NTv2,0,0,0,0,0,0,0,0,0,0
RGF 1993 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
Amersfoort To WGS 1984 2,565.04,49.91,465.84,-0.409394387,0.359705196,-1.868491,4.0772E-06,0,0,0
DHDN To WGS 1984 1,582,105,414,1.04,0.35,-3.08,0.0000083,0,0,0
Pulkovo 1942 Adj 1983 To WGS 1984 1,24,-123,-94,0.02,-0.25,-0.13,0.0000011,0,0,0
CH1903+ To WGS 1984 1,674.374,15.056,405.346,0,0,0,0,0,0,0
IRENET95 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
Pulkovo 1942 To WGS 1984 2,-40.595,-18.55,-69.339,2.508,1.832,-2.611,-0.000004299,0,0,0
South Yemen To WGS 1984 1,-76,-138,67,0,0,0,0,0,0,0
Tete To WGS 1984 1,-115.064,-87.39,-101.716,-0.058,4.001,-2.062,0.000009366,0,0,0
Tete To WGS 1984 2,-82.875,-57.097,-156.768,-2.158,1.524,-0.982,-0.000000359,0,0,0
Tete To WGS 1984 3,-138.527,-91.999,-114.591,-0.14,3.363,-2.217,0.000011748,0,0,0
Tete To WGS 1984 4,-73.472,-51.66,-112.482,0.953,4.6,-2.368,0.000000586,0,0,0
Tete To WGS 1984 5,219.315,168.975,-166.145,0.198,5.926,-2.356,-0.000057104,0,0,0
REGVEN To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
POSGAR 1998 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
DHDN To WGS 1984 2,598.1,73.7,418.2,0.202,0.045,-2.455,0.0000067,0,0,0
ED 1950 To WGS 1984 30,-84.1,-101.8,-129.7,0,0,0.468,0.00000105,0,0,0
MGI To WGS 1984 5,426.9,142.6,460.1,4.91,4.49,-12.42,0.0000171,0,0,0
MGI To WGS 1984 6,695.5,-216.6,491.1,0,0,0,0,0,0,0
MGI To WGS 1984 7,408.0895,-288.9616,791.5498,-4.078662,0.022669,9.825424,9.40606E-05,0,0,0
Manoca 1962 To WGS 1984 1,-70.9,-151.8,-41.4,0,0,0,0,0,0,0
Qornoq 1927 To WGS 1984 1,164,138,-189,0,0,0,0,0,0,0
Qornoq 1927 To WGS 1984 2,163.511,127.533,-159.789,0,0,0.814,-0.0000006,0,0,0
Scoresbysund 1952 To WGS 1984 1,105,326,-102.5,0,0,0.814,-0.0000006,0,0,0
Ammassalik 1958 To WGS 1984 1,-45,417,-3.5,0,0,0.814,-0.0000006,0,0,0
Pointe Noire To WGS 1984 2,-145,52.7,-291.6,0,0,0,0,0,0,0
Pointe Noire To WGS 1984 3,-178.3,-316.7,-131.5,5.278,6.077,10.979,0.000019166,0,0,0
Pulkovo 1942 To WGS 1984 13,27,-135,-84.5,0,0,0.554,2.263E-07,0,0,0
Pulkovo 1942 To WGS 1984 14,686.1,-123.5,-574.4,8.045,-23.366,10.791,-0.000002926,0,0,0
Pulkovo 1942 To WGS 1984 15,926.4,-715.9,-186.4,-10.364,-20.78,26.452,-0.000007224,0,0,0
ED 1950 To WGS 1984 31,-84,-103,-122.5,0,0,0.554,2.263E-07,0,0,0
PSAD 1956 To WGS 1984 12,-291.87,106.37,-364.52,0,0,0,0,0,0,0
Indian 1975 To WGS 1984 4,293,836,318,0.5,1.6,-2.8,0.0000021,0,0,0
Batavia To WGS 1984 2,-378.873,676.002,-46.255,0,0,0,0,0,0,0
Batavia To WGS 1984 3,-377.7,675.1,-52.2,0,0,0,0,0,0,0
Nord Sahara 1959 To WGS 1984 4,-152.9,43.8,358.3,2.714,1.386,-2.788,-0.000006743,0,0,0
Nord Sahara 1959 To WGS 1984 5,-95.7,10.2,158.9,0,0,0,0,0,0,0
Nord Sahara 1959 To WGS 1984 6,-165.914,-70.607,305.009,0,0,0,0,0,0,0
Minna To WGS 1984 4,-89,-112,125.9,0,0,0.814,-0.00000038,0,0,0
Minna To WGS 1984 6,-93.2,-93.31,121.156,0,0,0,0,0,0,0
Minna To WGS 1984 7,-88.98,-83.23,113.55,0,0,0,0,0,0,0
Minna To WGS 1984 8,-92.726,-90.304,115.735,0,0,0,0,0,0,0
Minna To WGS 1984 9,-93.134,-86.647,114.196,0,0,0,0,0,0,0
Minna To WGS 1984 10,-93,-94,124,0,0,0,0,0,0,0
Hong Kong 1980 To WGS 1984 1,-162.619,-276.959,-161.764,0.067753,-2.243649,-1.158827,-1.09425E-06,0,0,0
JGD 2000 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
Hungarian 1972 To WGS 1984 1,56,-75.77,-15.31,-0.37,-0.2,-0.21,0.00000101,0,0,0
Hungarian 1972 To WGS 1984 2,57.01,-69.97,-9.29,0,0,0,0,0,0,0
Indonesian 1974 To WGS 1984 2,2.691,-14.757,4.724,0,0,0.774,-0.0000006,0,0,0
Indonesian 1974 To WGS 1984 3,-1.977,-13.06,-9.993,0.364,0.254,0.689,-0.000001037,0,0,0
Makassar To WGS 1984 1,-587.8,519.75,145.76,0,0,0,0,0,0,0
Gunung Segara To WGS 1984 4,-404.78,685.68,45.47,0,0,0,0,0,0,0
QND 1995 To WGS 1984 1,-119.4248,-303.65872,-11.00061,1.164298,0.174458,1.096259,3.65707E-06,0,0,0
NAD 1983 CSRS98 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
Timbalai 1948 To WGS 1984 4,-533.4,669.2,-52.5,0,0,4.28,0.0000094,0,0,0
FD 1958 To WGS 1984 2,-239.1,-170.02,397.5,0,0,0,0,0,0,0
FD 1958 To WGS 1984 3,-244.72,-162.773,400.75,0,0,0,0,0,0,0
ED 1950 ED77 To WGS 1984 3,-122.89,-159.08,-168.74,0,0,0,0,0,0,0
ED 1950 ED77 To WGS 1984 4,-84.78,-107.55,-137.25,0,0,0,0,0,0,0
ED 1950 ED77 To WGS 1984 5,-123.92,-155.515,-157.721,0,0,0,0,0,0,0
ELD 1979 To WGS 1984 1,-69.06,-90.71,-142.56,0,0,0,0,0,0,0
ELD 1979 To WGS 1984 2,-113.997,-97.076,-152.312,0,0,0,0,0,0,0
ELD 1979 To WGS 1984 3,-114.5,-96.1,-151.9,0,0,0,0,0,0,0
ELD 1979 To WGS 1984 4,-194.513,-63.978,-25.759,-3.4027,3.756,-3.352,-9.175E-07,0,0,0
ELD 1979 To WGS 1984 5,-389.691,64.502,210.209,0.086,14.314,-6.39,9.264E-07,0,0,0
SAD 1969 To WGS 1984 1,-57,1,-41,0,0,0,0,0,0,0
SAD 1969 To WGS 1984 2,-62,-1,-37,0,0,0,0,0,0,0
SAD 1969 To WGS 1984 3,-61,2,-48,0,0,0,0,0,0,0
SAD 1969 To WGS 1984 4,-60,-2,-41,0,0,0,0,0,0,0
SAD 1969 To WGS 1984 5,-75,-1,-44,0,0,0,0,0,0,0
SAD 1969 To WGS 1984 6,-44,6,-36,0,0,0,0,0,0,0
SAD 1969 To WGS 1984 7,-48,3,-44,0,0,0,0,0,0,0
SAD 1969 To WGS 1984 8,-47,26,-42,0,0,0,0,0,0,0
SAD 1969 To WGS 1984 9,-53,3,-47,0,0,0,0,0,0,0
SAD 1969 To WGS 1984 10,-61,2,-33,0,0,0,0,0,0,0
SAD 1969 To WGS 1984 11,-58,0,-44,0,0,0,0,0,0,0
SAD 1969 To WGS 1984 12,-45,12,-33,0,0,0,0,0,0,0
SAD 1969 To WGS 1984 13,-45,8,-33,0,0,0,0,0,0,0
SWEREF99 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
Point58 To WGS 1984 1,-106,-129,165,0,0,0,0,0,0,0
Azores Oriental 1940 To WGS 1984 1,-203,141,53,0,0,0,0,0,0,0
Azores Central 1948 To WGS 1984 1,-104,167,-38,0,0,0,0,0,0,0
Azores Occidental 1939 To WGS 1984 1,-425,-169,81,0,0,0,0,0,0,0
Australian Antarctic 1998 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
Hito XVIII 1963 To WGS 1984 2,16,196,93,0,0,0,0,0,0,0
Puerto Rico To WGS 1984 3,11,72,-101,0,0,0,0,0,0,0
Gandajika 1970 To WGS 1984 1,-133,-321,50,0,0,0,0,0,0,0
RT90 To WGS 1984 2,414.1,41.3,603.1,-0.855,2.141,-7.023,0,0,0,0
Gunung Segara To WGS 1984 1,-403,684,41,0,0,0,0,0,0,0
Gunung Segara To WGS 1984 2,-387.06,636.53,46.29,0,0,0,0,0,0,0
Gunung Segara To WGS 1984 3,-403.4,681.12,46.56,0,0,0,0,0,0,0
NAD 1983 HARN To WGS 1984 2,-0.9738,1.9453,0.5486,0.02755079,0.010049221,0.011359003,0,0,0,0
NAD 1983 HARN To WGS 1984 3,-0.991,1.9072,0.5129,0.025789908,0.009650099,0.011659943,0,0,0,0
Fort Marigot To WGS 1984 1,137,248,-430,0,0,0,0,0,0,0
Sainte Anne To WGS 1984 1,-467,-16,-300,0,0,0,0,0,0,0
Sainte Anne To WGS 1984 2,-472.29,-5.63,-304.12,0.4362,-0.8374,0.2563,1.8984E-06,0,0,0
CSG 1967 To WGS 1984 1,-186,230,110,0,0,0,0,0,0,0
RGFG 1995 To WGS 1984 1,2,2,-2,0,0,0,0,0,0,0
Fort Desaix To WGS 1984 1,186,482,151,0,0,0,0,0,0,0
Fort Desaix To WGS 1984 2,126.93,547.94,130.41,-2.7867,5.1612,-0.8584,1.38227E-05,0,0,0
Piton des Neiges To WGS 1984 1,94,-948,-1292,0,0,0,0,0,0,0
RGR 1992 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
Tahaa To WGS 1984 1,65,342,77,0,0,0,0,0,0,0
IGN72 Nuku Hiva To WGS 1984 1,84,274,65,0,0,0,0,0,0,0
K0 1949 To WGS 1984 1,145,-187,103,0,0,0,0,0,0,0
Combani 1950 To WGS 1984 1,-382,-59,-262,0,0,0,0,0,0,0
IGN56 Lifou To WGS 1984 1,336,223,-231,0,0,0,0,0,0,0
ST87 Ouvea To WGS 1984 1,-122.383,-188.696,103.344,3.5107,-4.9668,-5.7047,4.4798E-06,0,0,0
RGNC 1991 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
Petrels 1972 To WGS 1984 1,365,194,166,0,0,0,0,0,0,0
Pointe Geologie Perroud 1950 To WGS 1984 1,325,154,172,0,0,0,0,0,0,0
Saint Pierre et Miquelon 1950 To WGS 1984 1,30,430,368,0,0,0,0,0,0,0
Tahiti To WGS 1984 1,162,117,154,0,0,0,0,0,0,0
MOP78 To WGS 1984 1,252,-132,-125,0,0,0,0,0,0,0
IGN56 Lifou To WGS 1984 2,137.092,131.66,91.475,-1.9436,-11.5993,-4.3321,-7.4824E-06,0,0,0
IGN53 Mare To WGS 1984 1,-408.809,366.856,-412.987,1.8842,-0.5308,2.1655,-0.000121099,0,0,0
ST84 Ile des Pins To WGS 1984 1,244.416,85.339,168.114,-8.9353,7.7523,12.5953,0.000014268,0,0,0
ST71 Belep To WGS 1984 1,-480.26,-438.32,-643.429,16.3119,20.1721,-4.0349,-0.0001117,0,0,0
NEA74 Noumea To WGS 1984 1,-166.207,-154.777,254.831,-37.5444,7.7011,-10.2025,-3.08598E-05,0,0,0
RRAF 1991 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
Lisbon To WGS 1984 2,-282.1,-72.2,120,-1.592,0.145,-0.89,-0.00000446,0,0,0
NAD 1983 CSRS98 To WGS 1984 2,-0.991,1.9072,0.5129,0.025789908,0.009650099,0.011659943,0,0,0,0
Hjorsey 1955 To WGS 1984,-73,46,-86,0,0,0,0,0,0,0
ISN 1993 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
TM75 To WGS 1984 2,482.5,-130.6,564.6,-1.042,-0.214,-0.631,0.00000815,0,0,0
OSNI 1952 To WGS 1984 1,482.5,-130.6,564.6,-1.042,-0.214,-0.631,0.00000815,0,0,0
TM75 To WGS 1984 3,506,-122,611,0,0,0,0,0,0,0
Helle 1954 To WGS 1984 1,982.6087,552.753,-540.873,6.681626625,-31.61149241,-19.84816101,0.000016805,0,0,0
LKS 1992 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
St Vincent 1945 To WGS 1984 1,195.671,332.517,274.607,0,0,0,0,0,0,0
ED 1987 To WGS 1984 2,-83.11,-97.38,-117.22,0.005693,-0.04469,0.04428,0.000001218,0,0,0
IGN72 Grande Terre To WGS 1984 1,-13,-348,292,0,0,0,0,0,0,0
IGN72 Grande Terre To WGS 1984 2,97.295,-263.247,310.882,-1.5999,0.8386,3.1409,1.33259E-05,0,0,0
Selvagem Grande 1938 To WGS 1984 1,-289,-124,60,0,0,0,0,0,0,0
Porto Santo 1995 To WGS 1984 2,-502.862,-247.438,312.724,0,0,0,0,0,0,0
Porto Santo 1995 To WGS 1984 3,-210.502,-66.902,-48.476,2.094,-15.067,-5.817,0.000000485,0,0,0
Azores Oriental 1995 To WGS 1984 2,-204.633,140.216,55.199,0,0,0,0,0,0,0
Azores Oriental 1995 To WGS 1984 3,-211.939,137.626,58.3,-0.089,0.251,0.079,0.000000384,0,0,0
Azores Oriental 1995 To WGS 1984 4,-204.619,140.176,55.226,0,0,0,0,0,0,0
Azores Oriental 1995 To WGS 1984 5,-208.719,129.685,52.092,-0.195,-0.014,0.327,0.000000198,0,0,0
Azores Central 1995 To WGS 1984 2,-106.301,166.27,-37.916,0,0,0,0,0,0,0
Azores Central 1995 To WGS 1984 3,-105.854,165.589,-38.312,-0.003,-0.026,0.024,-0.000000048,0,0,0
Azores Central 1995 To WGS 1984 4,-106.248,166.244,-37.845,0,0,0,0,0,0,0
Azores Central 1995 To WGS 1984 5,-104,162.924,-38.882,-0.075,-0.071,0.051,-0.000000338,0,0,0
Azores Central 1995 To WGS 1984 6,-106.044,166.655,-37.876,0,0,0,0,0,0,0
Azores Central 1995 To WGS 1984 7,-95.323,166.098,-69.942,-0.215,-1.031,0.047,0.000001922,0,0,0
Azores Central 1995 To WGS 1984 8,-106.253,166.239,-37.854,0,0,0,0,0,0,0
Azores Central 1995 To WGS 1984 9,-100.306,161.246,-48.761,-0.192,-0.385,0.076,0.000000131,0,0,0
Azores Central 1995 To WGS 1984 10,-106.226,166.366,-37.893,0,0,0,0,0,0,0
Azores Central 1995 To WGS 1984 11,-103.088,162.481,-28.276,0.167,0.082,0.168,-0.000001504,0,0,0
Azores Occidental 1939 To WGS 1984 2,-422.651,-172.995,84.02,0,0,0,0,0,0,0
Datum 73 To WGS 1984 3,-223.237,110.193,36.649,0,0,0,0,0,0,0
Lisbon To WGS 1984 3,-304.046,-60.576,103.64,0,0,0,0,0,0,0
European 1950 To WGS 1984 33,-87.987,-108.639,-121.593,0,0,0,0,0,0,0
Lisbon 1890 To WGS 1984 1,508.088,-191.042,565.223,0,0,0,0,0,0,0
Datum 73 To WGS 1984 4,-239.749,88.181,30.488,0.263,0.082,1.211,0.000002229,0,0,0
Lisbon To WGS 1984 4,-288.885,-91.744,126.244,-1.691,0.41,-0.211,-0.000004598,0,0,0
ED 1950 To WGS 1984 34,-74.292,-135.889,-104.967,-0.524,-0.136,0.61,-0.000003761,0,0,0
Lisbon 1890 To WGS 1984 2,631.392,-66.551,481.442,1.09,-4.445,-4.487,-0.00000443,0,0,0
IKBD 1992 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
Reykjavik 1900 To WGS 1984 1,-28,199,5,0,0,0,0,0,0,0
Dealul Piscului 1933 To WGS 1984 1,103.25,-100.4,-307.19,0,0,0,0,0,0,0
Dealul Piscului 1970 To WGS 1984 1,44.107,-116.147,-54.648,0,0,0,0,0,0,0
ED 1950 To WGS 1984 36,-157.89,-17.16,-78.41,2.118,2.697,-1.434,-0.00000538,0,0,0
ED 1950 To WGS 1984 32,-83.11,-97.38,-117.22,0.005693,-0.04469,0.04428,0.000001218,0,0,0
ETRF 1989 To WGS 1984,0,0,0,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 Alaska,-5,135,172,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 Alaska 2,-2,152,149,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 Alaska 3,2,204,105,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 Alberta British Columbia,-7,162,188,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 Bahamas,-4,154,178,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 Canada Mean,-10,158,187,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 Canal Zone,0,125,201,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 Central,0,125,194,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 Cuba,-9,152,178,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 East,-22,160,190,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 Greenland,11,114,195,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 Manitoba Ontario,-9,157,184,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 Mexico,-12,130,190,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 North West,4,159,188,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 San Salvador,1,140,165,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 US Conus,-8,160,176,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 US East,-9,161,179,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 US West,-8,159,175,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 West Indies,-3,142,183,0,0,0,0,0,0,0
NAD 1927 To WGS 1984 Yukon,-7,139,181,0,0,0,0,0,0,0
Qornoq To WGS 1984,164,138,-189,0,0,0,0,0,0,0
Bogota Bogota To WGS 1984,307,304,-318,0,0,0,0,0,0,0
Monte Mario Rome To WGS 1984,-225,-65,9,0,0,0,0,0,0,0
Batavia Jakarta To WGS 1984,-377,681,-50,0,0,0,0,0,0,0
Naparima 1972 To WGS 1984 2,-0.465,372.095,171.736,0,0,0,0,0,0,0
MGI Ferro To WGS 1984,682,-203,480,0,0,0,0,0,0,0
MGI To WGS 1984 2,577.326,90.129,463.919,5.1365988,1.4742,5.2970436,2.4232E-06,0,0,0
Chos Malal 1914 To WGS 1984,5.5,176.7,141.4,0,0,0,0,0,0,0
Indian 1960 To WGS 1984 1,199,931,318.9,0,0,0.814,-0.00000038,0,0,0
Nord Sahara 1959 To WGS 1984 3,-156,-87.2,287.8,0,0,0.814,-0.00000038,0,0,0
